iid1	iid2	k0	k1	k2	relateadmix_pihat_equiv	relateadmix_kin_equiv
ALSU_1044	ALSU_1048	0.873197	0.053655	0.073148	0.0999755	0.04998775
ALSU_1041	ALSU_1047	0.873174	0.05554	0.071286	0.099056	0.049528
ALSU_1042	ALSU_1043	0.87807	0.046143	0.075787	0.0988585	0.04942925
ALSU_1041	ALSU_1042	0.883897	0.035261	0.080842	0.0984725	0.04923625
ALSU_1040	ALSU_1050	0.870162	0.06288	0.066957	0.098397	0.0491985
ALSU_1046	ALSU_1047	0.878714	0.046138	0.075148	0.098217	0.0491085
ALSU_1047	ALSU_1050	0.882388	0.039847	0.077765	0.0976885	0.04884425
ALSU_1047	ALSU_1048	0.885396	0.03603	0.078575	0.09659	0.048295
ALSU_1043	ALSU_1044	0.891185	0.028188	0.080627	0.094721	0.0473605
ALSU_1047	ALSU_1049	0.874871	0.062047	0.063082	0.0941055	0.04705275
ALSU_1040	ALSU_1049	0.883999	0.045628	0.070373	0.093187	0.0465935
ALSU_1040	ALSU_1048	0.887048	0.041189	0.071763	0.0923575	0.04617875
ALSU_1043	ALSU_1047	0.891866	0.034634	0.0735	0.090817	0.0454085
ALSU_0251	GWAS2026_0035	0.831136	0.156494	0.01237	0.090617	0.0453085
ALSU_1042	ALSU_1047	0.888233	0.044981	0.066786	0.0892765	0.04463825
ALSU_1040	ALSU_1042	0.872885	0.076133	0.050981	0.0890475	0.04452375
ALSU_1042	ALSU_1044	0.888553	0.047957	0.06349	0.0874685	0.04373425
ALSU_1040	ALSU_1043	0.898109	0.031884	0.070007	0.085949	0.0429745
ALSU_0035	ALSU_0927	0.837906	0.152912	0.009182	0.085638	0.042819
ALSU_0767	ALSU_1025	0.830164	0.169713	0.000123	0.0849795	0.04248975
ALSU_1040	ALSU_1041	0.889962	0.053387	0.056651	0.0833445	0.04167225
ALSU_0102	ALSU_1047	0.849663	0.140271	0.010065	0.0802005	0.04010025
ALSU_1040	ALSU_1047	0.903862	0.037332	0.058807	0.077473	0.0387365
ALSU_1040	ALSU_1044	0.894875	0.062571	0.042554	0.0738395	0.03691975
ALSU_0796	ALSU_0923	0.856093	0.143765	0.000143	0.0720255	0.03601275
ALSU_1044	ALSU_1047	0.90359	0.049036	0.047374	0.071892	0.035946
ALSU_0242	ALSU_1030	0.931561	4e-06	0.068435	0.068437	0.0342185
