Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
189 04-49 862 08-495 0.5352 0.4648 0.0000 0.2324
189 04-49 1094 08-86 0.5444 0.4556 0.0000 0.2278
190 04-50 274 07-04d 0.0000 0.2449 0.7551 0.8775
190 04-50 453 08-123 0.3217 0.6783 0.0000 0.3392
190 04-50 499 08-701 0.5827 0.4173 0.0000 0.2087
190 04-50 550 20-05 0.3000 0.7000 0.0000 0.3500
190 04-50 840 08-25 0.3423 0.6577 0.0000 0.3289
190 04-50 862 08-495 0.4684 0.5316 0.0000 0.2658
190 04-50 1094 08-86 0.4673 0.5327 0.0000 0.2664
191 04-54 271 08-128 0.6793 0.3207 0.0000 0.1604
191 04-54 274 07-04d 0.3378 0.6622 0.0000 0.3311
191 04-54 453 08-123 0.3002 0.6998 0.0000 0.3499
191 04-54 499 08-701 0.6028 0.3972 0.0000 0.1986
191 04-54 550 20-05 0.3083 0.6917 0.0000 0.3459
191 04-54 840 08-25 0.3482 0.6518 0.0000 0.3259
191 04-54 862 08-495 0.4949 0.5051 0.0000 0.2525
191 04-54 1094 08-86 0.4690 0.5310 0.0000 0.2655
192 04-55 271 08-128 0.6979 0.3021 0.0000 0.1511
192 04-55 274 07-04d 0.3239 0.6761 0.0000 0.3380
192 04-55 453 08-123 0.3120 0.6880 0.0000 0.3440
192 04-55 499 08-701 0.5898 0.4102 0.0000 0.2051
192 04-55 550 20-05 0.3023 0.6977 0.0000 0.3488
192 04-55 840 08-25 0.3352 0.6648 0.0000 0.3324
192 04-55 862 08-495 0.4783 0.5217 0.0000 0.2609
192 04-55 1094 08-86 0.4472 0.5528 0.0000 0.2764
193 04-56 274 07-04d 0.3294 0.6706 0.0000 0.3353
193 04-56 453 08-123 0.3260 0.6740 0.0000 0.3370
193 04-56 499 08-701 0.5984 0.4016 0.0000 0.2008
193 04-56 550 20-05 0.2887 0.7113 0.0000 0.3556
193 04-56 840 08-25 0.3455 0.6545 0.0000 0.3272
193 04-56 862 08-495 0.4725 0.5275 0.0000 0.2638
193 04-56 1094 08-86 0.4560 0.5440 0.0000 0.2720
194 06-04 271 08-128 0.6945 0.3055 0.0000 0.1527
194 06-04 274 07-04d 0.3459 0.6541 0.0000 0.3270
194 06-04 293 02-52d 0.0000 0.0000 1.0000 1.0000
194 06-04 453 08-123 0.3137 0.6863 0.0000 0.3432
194 06-04 499 08-701 0.5757 0.4243 0.0000 0.2122
194 06-04 550 20-05 0.2939 0.7061 0.0000 0.3530
194 06-04 840 08-25 0.3465 0.6535 0.0000 0.3267
194 06-04 862 08-495 0.4879 0.5121 0.0000 0.2560
194 06-04 1094 08-86 0.4658 0.5342 0.0000 0.2671
195 06-05 274 07-04d 0.3869 0.6131 0.0000 0.3066
195 06-05 453 08-123 0.3595 0.6405 0.0000 0.3203
195 06-05 499 08-701 0.6565 0.3435 0.0000 0.1717
195 06-05 550 20-05 0.3398 0.6602 0.0000 0.3301
195 06-05 840 08-25 0.3569 0.6431 0.0000 0.3215
195 06-05 862 08-495 0.5277 0.4723 0.0000 0.2361
195 06-05 1094 08-86 0.5992 0.4008 0.0000 0.2004
196 06-06 274 07-04d 0.3460 0.6540 0.0000 0.3270
196 06-06 453 08-123 0.3270 0.6730 0.0000 0.3365
196 06-06 499 08-701 0.5945 0.4055 0.0000 0.2027
196 06-06 550 20-05 0.3129 0.6871 0.0000 0.3435
196 06-06 840 08-25 0.3444 0.6556 0.0000 0.3278
196 06-06 862 08-495 0.4992 0.5008 0.0000 0.2504
196 06-06 1094 08-86 0.4754 0.5246 0.0000 0.2623
197 06-08 271 08-128 0.6979 0.3021 0.0000 0.1511
197 06-08 274 07-04d 0.3402 0.6598 0.0000 0.3299
197 06-08 453 08-123 0.3235 0.6765 0.0000 0.3383
197 06-08 499 08-701 0.5877 0.4123 0.0000 0.2062
197 06-08 550 20-05 0.3070 0.6930 0.0000 0.3465
197 06-08 840 08-25 0.3486 0.6514 0.0000 0.3257
197 06-08 862 08-495 0.5066 0.4934 0.0000 0.2467
197 06-08 1094 08-86 0.4571 0.5429 0.0000 0.2715
198 06-09 274 07-04d 0.3583 0.6417 0.0000 0.3208
198 06-09 453 08-123 0.3290 0.6710 0.0000 0.3355
198 06-09 499 08-701 0.5749 0.4251 0.0000 0.2126
198 06-09 550 20-05 0.3051 0.6949 0.0000 0.3474
198 06-09 840 08-25 0.3500 0.6500 0.0000 0.3250
198 06-09 862 08-495 0.4892 0.5108 0.0000 0.2554
198 06-09 1094 08-86 0.4934 0.5066 0.0000 0.2533
199 06-12 274 07-04d 0.3695 0.6305 0.0000 0.3153
199 06-12 453 08-123 0.3235 0.6765 0.0000 0.3382
199 06-12 499 08-701 0.6271 0.3729 0.0000 0.1864
199 06-12 550 20-05 0.3119 0.6881 0.0000 0.3440
199 06-12 840 08-25 0.3643 0.6357 0.0000 0.3179
199 06-12 862 08-495 0.5018 0.4982 0.0000 0.2491
199 06-12 1094 08-86 0.4626 0.5374 0.0000 0.2687
200 06-14 274 07-04d 0.3612 0.6388 0.0000 0.3194
200 06-14 453 08-123 0.3346 0.6654 0.0000 0.3327
200 06-14 499 08-701 0.5922 0.4078 0.0000 0.2039
200 06-14 550 20-05 0.3027 0.6973 0.0000 0.3487
200 06-14 840 08-25 0.3566 0.6434 0.0000 0.3217
200 06-14 862 08-495 0.4883 0.5117 0.0000 0.2559
200 06-14 1094 08-86 0.4759 0.5241 0.0000 0.2620
201 06-15 274 07-04d 0.3415 0.6585 0.0000 0.3292
201 06-15 453 08-123 0.3243 0.6757 0.0000 0.3378
201 06-15 499 08-701 0.5834 0.4166 0.0000 0.2083
201 06-15 550 20-05 0.3132 0.6868 0.0000 0.3434
201 06-15 840 08-25 0.3408 0.6592 0.0000 0.3296
201 06-15 862 08-495 0.4665 0.5335 0.0000 0.2667
201 06-15 1094 08-86 0.4854 0.5146 0.0000 0.2573
202 06-20 274 07-04d 0.3547 0.6453 0.0000 0.3227
202 06-20 453 08-123 0.3066 0.6934 0.0000 0.3467
202 06-20 499 08-701 0.5741 0.4259 0.0000 0.2130
202 06-20 550 20-05 0.3000 0.7000 0.0000 0.3500
202 06-20 840 08-25 0.3470 0.6530 0.0000 0.3265
202 06-20 862 08-495 0.4927 0.5073 0.0000 0.2537
202 06-20 1094 08-86 0.4675 0.5325 0.0000 0.2663
203 06-23 271 08-128 0.6990 0.3010 0.0000 0.1505
203 06-23 274 07-04d 0.3416 0.6584 0.0000 0.3292
203 06-23 453 08-123 0.3063 0.6937 0.0000 0.3469
203 06-23 499 08-701 0.5770 0.4230 0.0000 0.2115
203 06-23 550 20-05 0.3104 0.6896 0.0000 0.3448
203 06-23 840 08-25 0.3351 0.6649 0.0000 0.3325
203 06-23 862 08-495 0.4678 0.5322 0.0000 0.2661
203 06-23 1094 08-86 0.4510 0.5490 0.0000 0.2745
204 06-28 274 07-04d 0.3443 0.6557 0.0000 0.3278
204 06-28 380 08-107d 0.0000 0.0000 1.0000 1.0000
204 06-28 453 08-123 0.3334 0.6666 0.0000 0.3333
204 06-28 499 08-701 0.6242 0.3758 0.0000 0.1879
204 06-28 550 20-05 0.3327 0.6673 0.0000 0.3336
204 06-28 840 08-25 0.3647 0.6353 0.0000 0.3176
204 06-28 862 08-495 0.5180 0.4820 0.0000 0.2410
204 06-28 1094 08-86 0.4924 0.5076 0.0000 0.2538
205 06-29 274 07-04d 0.3541 0.6459 0.0000 0.3230
205 06-29 292 02-104d 0.0000 0.0000 1.0000 1.0000
205 06-29 342 02-104t 0.0000 0.0000 1.0000 1.0000
205 06-29 453 08-123 0.3221 0.6779 0.0000 0.3390
205 06-29 499 08-701 0.5850 0.4150 0.0000 0.2075
205 06-29 550 20-05 0.3184 0.6816 0.0000 0.3408
205 06-29 840 08-25 0.3412 0.6588 0.0000 0.3294
205 06-29 862 08-495 0.4843 0.5157 0.0000 0.2579
205 06-29 1094 08-86 0.4683 0.5317 0.0000 0.2658
206 06-30 271 08-128 0.6391 0.3609 0.0000 0.1804
206 06-30 274 07-04d 0.3459 0.6541 0.0000 0.3270
206 06-30 453 08-123 0.3149 0.6851 0.0000 0.3426
206 06-30 499 08-701 0.5946 0.4054 0.0000 0.2027
206 06-30 550 20-05 0.3078 0.6922 0.0000 0.3461
206 06-30 840 08-25 0.3394 0.6606 0.0000 0.3303
206 06-30 862 08-495 0.4891 0.5109 0.0000 0.2555
206 06-30 1094 08-86 0.4374 0.5626 0.0000 0.2813
207 06-31 274 07-04d 0.3330 0.6670 0.0000 0.3335
207 06-31 453 08-123 0.3316 0.6684 0.0000 0.3342
207 06-31 499 08-701 0.5869 0.4131 0.0000 0.2066
207 06-31 550 20-05 0.3060 0.6940 0.0000 0.3470
207 06-31 840 08-25 0.3415 0.6585 0.0000 0.3293
207 06-31 862 08-495 0.4872 0.5128 0.0000 0.2564
207 06-31 1094 08-86 0.4673 0.5327 0.0000 0.2664
208 06-32 274 07-04d 0.3435 0.6565 0.0000 0.3283
208 06-32 453 08-123 0.3224 0.6776 0.0000 0.3388
208 06-32 499 08-701 0.5817 0.4183 0.0000 0.2092
208 06-32 550 20-05 0.3116 0.6884 0.0000 0.3442
208 06-32 840 08-25 0.3402 0.6598 0.0000 0.3299
208 06-32 862 08-495 0.4949 0.5051 0.0000 0.2526
208 06-32 1094 08-86 0.4532 0.5468 0.0000 0.2734
209 06-33 274 07-04d 0.3538 0.6462 0.0000 0.3231
209 06-33 453 08-123 0.3382 0.6618 0.0000 0.3309
209 06-33 499 08-701 0.5889 0.4111 0.0000 0.2056
209 06-33 550 20-05 0.3198 0.6802 0.0000 0.3401
209 06-33 840 08-25 0.3415 0.6585 0.0000 0.3292
209 06-33 862 08-495 0.4757 0.5243 0.0000 0.2621
209 06-33 1094 08-86 0.4727 0.5273 0.0000 0.2637
210 06-34 274 07-04d 0.3526 0.6474 0.0000 0.3237
210 06-34 453 08-123 0.3260 0.6740 0.0000 0.3370
210 06-34 499 08-701 0.6224 0.3776 0.0000 0.1888
210 06-34 550 20-05 0.3087 0.6913 0.0000 0.3457
210 06-34 840 08-25 0.3611 0.6389 0.0000 0.3195
210 06-34 862 08-495 0.4717 0.5283 0.0000 0.2641
210 06-34 1094 08-86 0.4676 0.5324 0.0000 0.2662
211 06-36 271 08-128 0.6776 0.3224 0.0000 0.1612
211 06-36 274 07-04d 0.3397 0.6603 0.0000 0.3302
211 06-36 453 08-123 0.3094 0.6906 0.0000 0.3453
211 06-36 499 08-701 0.5971 0.4029 0.0000 0.2014
211 06-36 550 20-05 0.3056 0.6944 0.0000 0.3472
211 06-36 840 08-25 0.3439 0.6561 0.0000 0.3280
211 06-36 862 08-495 0.4784 0.5216 0.0000 0.2608
211 06-36 1094 08-86 0.4328 0.5672 0.0000 0.2836
212 06-37 271 08-128 0.6887 0.3113 0.0000 0.1557
212 06-37 274 07-04d 0.3431 0.6569 0.0000 0.3285
212 06-37 453 08-123 0.3178 0.6822 0.0000 0.3411
212 06-37 499 08-701 0.5889 0.4111 0.0000 0.2056
212 06-37 550 20-05 0.3116 0.6884 0.0000 0.3442
212 06-37 840 08-25 0.3412 0.6588 0.0000 0.3294
212 06-37 862 08-495 0.4886 0.5114 0.0000 0.2557
212 06-37 1094 08-86 0.4609 0.5391 0.0000 0.2696
213 06-38 268 06-42d 0.0000 0.0000 1.0000 1.0000
213 06-38 274 07-04d 0.3531 0.6469 0.0000 0.3235
213 06-38 453 08-123 0.3139 0.6861 0.0000 0.3430
213 06-38 499 08-701 0.5895 0.4105 0.0000 0.2052
213 06-38 550 20-05 0.2962 0.7038 0.0000 0.3519
213 06-38 840 08-25 0.3509 0.6491 0.0000 0.3245
213 06-38 862 08-495 0.4709 0.5291 0.0000 0.2646
213 06-38 1094 08-86 0.4659 0.5341 0.0000 0.2671
214 06-39 271 08-128 0.6884 0.3116 0.0000 0.1558
214 06-39 274 07-04d 0.3475 0.6525 0.0000 0.3262
214 06-39 278 07-10d 0.0000 0.0000 1.0000 1.0000
214 06-39 453 08-123 0.3070 0.6930 0.0000 0.3465
214 06-39 499 08-701 0.5704 0.4296 0.0000 0.2148
214 06-39 550 20-05 0.3038 0.6962 0.0000 0.3481
214 06-39 840 08-25 0.3395 0.6605 0.0000 0.3302
214 06-39 862 08-495 0.4807 0.5193 0.0000 0.2596
214 06-39 1094 08-86 0.4560 0.5440 0.0000 0.2720
215 06-41 274 07-04d 0.3597 0.6403 0.0000 0.3202
215 06-41 453 08-123 0.3328 0.6672 0.0000 0.3336
215 06-41 499 08-701 0.5993 0.4007 0.0000 0.2004
215 06-41 550 20-05 0.2991 0.7009 0.0000 0.3504
215 06-41 840 08-25 0.3354 0.6646 0.0000 0.3323
215 06-41 862 08-495 0.4854 0.5146 0.0000 0.2573
215 06-41 1094 08-86 0.4689 0.5311 0.0000 0.2656
216 06-42 274 07-04d 0.3421 0.6579 0.0000 0.3289
216 06-42 453 08-123 0.3228 0.6772 0.0000 0.3386
216 06-42 499 08-701 0.5902 0.4098 0.0000 0.2049
216 06-42 550 20-05 0.3118 0.6882 0.0000 0.3441
216 06-42 840 08-25 0.3482 0.6518 0.0000 0.3259
216 06-42 862 08-495 0.4703 0.5297 0.0000 0.2648
216 06-42 1094 08-86 0.4746 0.5254 0.0000 0.2627
217 06-43 274 07-04d 0.3549 0.6451 0.0000 0.3225
217 06-43 453 08-123 0.3060 0.6940 0.0000 0.3470
217 06-43 499 08-701 0.5768 0.4232 0.0000 0.2116
217 06-43 550 20-05 0.3096 0.6904 0.0000 0.3452
217 06-43 840 08-25 0.3382 0.6618 0.0000 0.3309
217 06-43 862 08-495 0.4705 0.5295 0.0000 0.2647
217 06-43 1094 08-86 0.4752 0.5248 0.0000 0.2624
218 07-01 271 08-128 0.6994 0.3006 0.0000 0.1503
218 07-01 274 07-04d 0.3483 0.6517 0.0000 0.3259
218 07-01 283 02-64d 0.0000 0.0000 1.0000 1.0000
218 07-01 453 08-123 0.3080 0.6920 0.0000 0.3460
218 07-01 499 08-701 0.5821 0.4179 0.0000 0.2089
218 07-01 550 20-05 0.3052 0.6948 0.0000 0.3474
218 07-01 840 08-25 0.3332 0.6668 0.0000 0.3334
218 07-01 862 08-495 0.4755 0.5245 0.0000 0.2622
218 07-01 1094 08-86 0.4392 0.5608 0.0000 0.2804
219 07-02 274 07-04d 0.3379 0.6621 0.0000 0.3310
219 07-02 453 08-123 0.3012 0.6988 0.0000 0.3494
219 07-02 499 08-701 0.5724 0.4276 0.0000 0.2138
219 07-02 550 20-05 0.2971 0.7029 0.0000 0.3514
219 07-02 840 08-25 0.3346 0.6654 0.0000 0.3327
219 07-02 862 08-495 0.4737 0.5263 0.0000 0.2632
219 07-02 1094 08-86 0.4485 0.5515 0.0000 0.2757
220 07-04 271 08-128 0.6850 0.3150 0.0000 0.1575
220 07-04 274 07-04d 0.3443 0.6557 0.0000 0.3278
220 07-04 297 04-20d 0.0000 0.0001 0.9999 1.0000
220 07-04 453 08-123 0.3082 0.6918 0.0000 0.3459
220 07-04 499 08-701 0.6059 0.3941 0.0000 0.1970
220 07-04 550 20-05 0.3175 0.6825 0.0000 0.3413
220 07-04 840 08-25 0.3643 0.6357 0.0000 0.3179
220 07-04 862 08-495 0.4926 0.5074 0.0000 0.2537
220 07-04 1094 08-86 0.4783 0.5217 0.0000 0.2609
221 07-08 271 08-128 0.6905 0.3095 0.0000 0.1547
221 07-08 274 07-04d 0.3506 0.6494 0.0000 0.3247
221 07-08 453 08-123 0.3060 0.6940 0.0000 0.3470
221 07-08 499 08-701 0.5781 0.4219 0.0000 0.2110
221 07-08 550 20-05 0.3179 0.6821 0.0000 0.3411
221 07-08 840 08-25 0.3598 0.6402 0.0000 0.3201
221 07-08 862 08-495 0.4868 0.5132 0.0000 0.2566
221 07-08 1094 08-86 0.4499 0.5501 0.0000 0.2750
222 07-10 274 07-04d 0.3459 0.6541 0.0000 0.3270
222 07-10 279 04-54d 0.0000 0.0000 1.0000 1.0000
222 07-10 453 08-123 0.3032 0.6968 0.0000 0.3484
222 07-10 499 08-701 0.5793 0.4207 0.0000 0.2104
222 07-10 550 20-05 0.2957 0.7043 0.0000 0.3522
222 07-10 840 08-25 0.3379 0.6621 0.0000 0.3311
222 07-10 862 08-495 0.4996 0.5004 0.0000 0.2502
222 07-10 1094 08-86 0.4828 0.5172 0.0000 0.2586
223 08-795 271 08-128 0.6760 0.3240 0.0000 0.1620
223 08-795 274 07-04d 0.3649 0.6351 0.0000 0.3176
223 08-795 453 08-123 0.3398 0.6602 0.0000 0.3301
223 08-795 499 08-701 0.6238 0.3762 0.0000 0.1881
223 08-795 550 20-05 0.3270 0.6730 0.0000 0.3365
223 08-795 840 08-25 0.3602 0.6398 0.0000 0.3199
223 08-795 862 08-495 0.5006 0.4994 0.0000 0.2497
223 08-795 1094 08-86 0.4564 0.5436 0.0000 0.2718
224 08-798 274 07-04d 0.3503 0.6497 0.0000 0.3248
224 08-798 453 08-123 0.2985 0.7015 0.0000 0.3507
224 08-798 499 08-701 0.5734 0.4266 0.0000 0.2133
224 08-798 550 20-05 0.2988 0.7012 0.0000 0.3506
224 08-798 840 08-25 0.3434 0.6566 0.0000 0.3283
224 08-798 862 08-495 0.4900 0.5100 0.0000 0.2550
224 08-798 1094 08-86 0.4649 0.5351 0.0000 0.2675
225 08-799 271 08-128 0.6921 0.3079 0.0000 0.1540
225 08-799 274 07-04d 0.3628 0.6372 0.0000 0.3186
225 08-799 300 06-41d 0.0000 0.0002 0.9998 0.9999
225 08-799 453 08-123 0.3176 0.6824 0.0000 0.3412
225 08-799 499 08-701 0.5856 0.4144 0.0000 0.2072
225 08-799 550 20-05 0.3192 0.6808 0.0000 0.3404
225 08-799 840 08-25 0.3559 0.6441 0.0000 0.3221
225 08-799 862 08-495 0.4871 0.5129 0.0000 0.2564
225 08-799 1094 08-86 0.4565 0.5435 0.0000 0.2718
226 08-800 271 08-128 0.6972 0.3028 0.0000 0.1514
226 08-800 274 07-04d 0.3411 0.6589 0.0000 0.3295
226 08-800 453 08-123 0.3116 0.6884 0.0000 0.3442
226 08-800 499 08-701 0.5899 0.4101 0.0000 0.2050
226 08-800 550 20-05 0.3015 0.6985 0.0000 0.3493
226 08-800 840 08-25 0.3413 0.6587 0.0000 0.3293
226 08-800 862 08-495 0.4764 0.5236 0.0000 0.2618
226 08-800 1094 08-86 0.4769 0.5231 0.0000 0.2616
227 08-81 271 08-128 0.6754 0.3246 0.0000 0.1623
227 08-81 274 07-04d 0.3438 0.6562 0.0000 0.3281
227 08-81 453 08-123 0.3119 0.6881 0.0000 0.3440
227 08-81 499 08-701 0.5954 0.4046 0.0000 0.2023
227 08-81 550 20-05 0.3015 0.6985 0.0000 0.3492
227 08-81 840 08-25 0.3577 0.6423 0.0000 0.3211
227 08-81 862 08-495 0.5039 0.4961 0.0000 0.2480
227 08-81 1094 08-86 0.4326 0.5674 0.0000 0.2837
228 08-812 274 07-04d 0.3431 0.6569 0.0000 0.3285
228 08-812 453 08-123 0.3087 0.6913 0.0000 0.3456
228 08-812 499 08-701 0.5980 0.4020 0.0000 0.2010
228 08-812 550 20-05 0.3039 0.6961 0.0000 0.3480
228 08-812 840 08-25 0.3514 0.6486 0.0000 0.3243
228 08-812 862 08-495 0.4968 0.5032 0.0000 0.2516
228 08-812 1094 08-86 0.4746 0.5254 0.0000 0.2627
229 08-816 274 07-04d 0.3636 0.6364 0.0000 0.3182
229 08-816 326 02-36d 0.0000 0.0000 1.0000 1.0000
229 08-816 453 08-123 0.3199 0.6801 0.0000 0.3401
229 08-816 499 08-701 0.6005 0.3995 0.0000 0.1998
229 08-816 550 20-05 0.3164 0.6836 0.0000 0.3418
229 08-816 840 08-25 0.3424 0.6576 0.0000 0.3288
229 08-816 862 08-495 0.4795 0.5205 0.0000 0.2603
229 08-816 1094 08-86 0.4628 0.5372 0.0000 0.2686
230 08-201 271 08-128 0.6984 0.3016 0.0000 0.1508
230 08-201 274 07-04d 0.3555 0.6445 0.0000 0.3222
230 08-201 453 08-123 0.3127 0.6873 0.0000 0.3436
230 08-201 499 08-701 0.5699 0.4301 0.0000 0.2150
230 08-201 550 20-05 0.3160 0.6840 0.0000 0.3420
230 08-201 840 08-25 0.3453 0.6547 0.0000 0.3273
230 08-201 862 08-495 0.4905 0.5095 0.0000 0.2548
230 08-201 1094 08-86 0.4644 0.5356 0.0000 0.2678
231 08-129 274 07-04d 0.3451 0.6549 0.0000 0.3275
231 08-129 415 08-493d 0.0000 0.0000 1.0000 1.0000
231 08-129 453 08-123 0.3074 0.6926 0.0000 0.3463
231 08-129 499 08-701 0.6087 0.3913 0.0000 0.1956
231 08-129 550 20-05 0.3100 0.6900 0.0000 0.3450
231 08-129 840 08-25 0.3354 0.6646 0.0000 0.3323
231 08-129 862 08-495 0.4807 0.5193 0.0000 0.2597
231 08-129 1094 08-86 0.4691 0.5309 0.0000 0.2655
232 08-541 271 08-128 0.6710 0.3290 0.0000 0.1645
232 08-541 274 07-04d 0.3751 0.6249 0.0000 0.3124
232 08-541 294 04-22d 0.0000 0.0000 1.0000 1.0000
232 08-541 453 08-123 0.3423 0.6577 0.0000 0.3288
232 08-541 499 08-701 0.5751 0.4249 0.0000 0.2124
232 08-541 550 20-05 0.3382 0.6618 0.0000 0.3309
232 08-541 840 08-25 0.3544 0.6456 0.0000 0.3228
232 08-541 862 08-495 0.4752 0.5248 0.0000 0.2624
232 08-541 1094 08-86 0.4571 0.5429 0.0000 0.2714
233 08-509 274 07-04d 0.3758 0.6242 0.0000 0.3121
233 08-509 296 04-36 0.0000 0.0000 1.0000 1.0000
233 08-509 369 04-40 0.0000 0.0000 1.0000 1.0000
233 08-509 453 08-123 0.3315 0.6685 0.0000 0.3342
233 08-509 499 08-701 0.5803 0.4197 0.0000 0.2098
233 08-509 550 20-05 0.3147 0.6853 0.0000 0.3426
233 08-509 840 08-25 0.3368 0.6632 0.0000 0.3316
233 08-509 862 08-495 0.4799 0.5201 0.0000 0.2600
233 08-509 1094 08-86 0.4836 0.5164 0.0000 0.2582
234 08-774 274 07-04d 0.3461 0.6539 0.0000 0.3269
234 08-774 281 04-55d 0.0000 0.0000 1.0000 1.0000
234 08-774 453 08-123 0.3258 0.6742 0.0000 0.3371
234 08-774 499 08-701 0.5684 0.4316 0.0000 0.2158
234 08-774 550 20-05 0.3103 0.6897 0.0000 0.3449
234 08-774 840 08-25 0.3579 0.6421 0.0000 0.3211
234 08-774 862 08-495 0.4903 0.5097 0.0000 0.2548
234 08-774 1094 08-86 0.4887 0.5113 0.0000 0.2556
235 08-168 274 07-04d 0.3422 0.6578 0.0000 0.3289
235 08-168 453 08-123 0.3224 0.6776 0.0000 0.3388
235 08-168 499 08-701 0.5856 0.4144 0.0000 0.2072
235 08-168 550 20-05 0.3063 0.6937 0.0000 0.3469
235 08-168 840 08-25 0.3448 0.6552 0.0000 0.3276
235 08-168 862 08-495 0.4925 0.5075 0.0000 0.2537
235 08-168 1094 08-86 0.4678 0.5322 0.0000 0.2661
236 07-11 274 07-04d 0.3643 0.6357 0.0000 0.3178
236 07-11 453 08-123 0.3190 0.6810 0.0000 0.3405
236 07-11 499 08-701 0.5847 0.4153 0.0000 0.2077
236 07-11 550 20-05 0.2991 0.7009 0.0000 0.3504
236 07-11 840 08-25 0.3475 0.6525 0.0000 0.3262
236 07-11 862 08-495 0.4882 0.5118 0.0000 0.2559
236 07-11 1094 08-86 0.4582 0.5418 0.0000 0.2709
237 08-107 274 07-04d 0.3503 0.6497 0.0000 0.3249
237 08-107 325 06-43d 0.0000 0.0000 1.0000 1.0000
237 08-107 453 08-123 0.3250 0.6750 0.0000 0.3375
237 08-107 499 08-701 0.6131 0.3869 0.0000 0.1935
237 08-107 550 20-05 0.3011 0.6989 0.0000 0.3494
237 08-107 840 08-25 0.3576 0.6424 0.0000 0.3212
237 08-107 862 08-495 0.5087 0.4913 0.0000 0.2456
237 08-107 1094 08-86 0.4522 0.5478 0.0000 0.2739
238 08-106 274 07-04d 0.0000 1.0000 0.0000 0.5000
238 08-106 453 08-123 0.3190 0.6810 0.0000 0.3405
238 08-106 499 08-701 0.6024 0.3976 0.0000 0.1988
238 08-106 550 20-05 0.2968 0.7032 0.0000 0.3516
238 08-106 840 08-25 0.3509 0.6491 0.0000 0.3245
238 08-106 862 08-495 0.4758 0.5242 0.0000 0.2621
238 08-106 1094 08-86 0.4538 0.5462 0.0000 0.2731
239 08-202 274 07-04d 0.3615 0.6385 0.0000 0.3192
239 08-202 453 08-123 0.3288 0.6712 0.0000 0.3356
239 08-202 499 08-701 0.6257 0.3743 0.0000 0.1872
239 08-202 550 20-05 0.3139 0.6861 0.0000 0.3430
239 08-202 840 08-25 0.3437 0.6563 0.0000 0.3282
239 08-202 862 08-495 0.4952 0.5048 0.0000 0.2524
239 08-202 1094 08-86 0.4746 0.5254 0.0000 0.2627
240 08-532 274 07-04d 0.3616 0.6384 0.0000 0.3192
240 08-532 453 08-123 0.3248 0.6752 0.0000 0.3376
240 08-532 499 08-701 0.5930 0.4070 0.0000 0.2035
240 08-532 550 20-05 0.3488 0.6512 0.0000 0.3256
240 08-532 840 08-25 0.3456 0.6544 0.0000 0.3272
240 08-532 862 08-495 0.4836 0.5164 0.0000 0.2582
240 08-532 1094 08-86 0.4701 0.5299 0.0000 0.2649
241 08-119 274 07-04d 0.3372 0.6628 0.0000 0.3314
241 08-119 453 08-123 0.3370 0.6630 0.0000 0.3315
241 08-119 499 08-701 0.5599 0.4401 0.0000 0.2200
241 08-119 550 20-05 0.3000 0.7000 0.0000 0.3500
241 08-119 840 08-25 0.3310 0.6690 0.0000 0.3345
241 08-119 862 08-495 0.4780 0.5220 0.0000 0.2610
241 08-119 1094 08-86 0.4530 0.5470 0.0000 0.2735
242 08-215 271 08-128 0.6970 0.3030 0.0000 0.1515
242 08-215 274 07-04d 0.3590 0.6410 0.0000 0.3205
242 08-215 453 08-123 0.3194 0.6806 0.0000 0.3403
242 08-215 499 08-701 0.6021 0.3979 0.0000 0.1990
242 08-215 550 20-05 0.2990 0.7010 0.0000 0.3505
242 08-215 840 08-25 0.3502 0.6498 0.0000 0.3249
242 08-215 862 08-495 0.4999 0.5001 0.0000 0.2500
242 08-215 1094 08-86 0.4750 0.5250 0.0000 0.2625
243 07-15 244 08-160 0.0000 0.0000 1.0000 1.0000
243 07-15 274 07-04d 0.3529 0.6471 0.0000 0.3236
243 07-15 453 08-123 0.3345 0.6655 0.0000 0.3328
243 07-15 499 08-701 0.5887 0.4113 0.0000 0.2057
243 07-15 550 20-05 0.3037 0.6963 0.0000 0.3482
243 07-15 840 08-25 0.3305 0.6695 0.0000 0.3348
243 07-15 862 08-495 0.4898 0.5102 0.0000 0.2551
243 07-15 1094 08-86 0.4653 0.5347 0.0000 0.2674
244 08-160 274 07-04d 0.3529 0.6471 0.0000 0.3236
244 08-160 453 08-123 0.3345 0.6655 0.0000 0.3328
244 08-160 499 08-701 0.5887 0.4113 0.0000 0.2057
244 08-160 550 20-05 0.3037 0.6963 0.0000 0.3481
244 08-160 840 08-25 0.3308 0.6692 0.0000 0.3346
244 08-160 862 08-495 0.4898 0.5102 0.0000 0.2551
244 08-160 1094 08-86 0.4653 0.5347 0.0000 0.2674
245 07-16 247 02-90 0.0000 0.0000 1.0000 1.0000
