Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
12 02-81 840 08-25 0.3540 0.6460 0.0000 0.3230
12 02-81 862 08-495 0.5091 0.4909 0.0000 0.2454
12 02-81 1094 08-86 0.4669 0.5331 0.0000 0.2665
13 02-82 271 08-128 0.6783 0.3217 0.0000 0.1609
13 02-82 274 07-04d 0.3466 0.6534 0.0000 0.3267
13 02-82 453 08-123 0.3127 0.6873 0.0000 0.3436
13 02-82 499 08-701 0.5806 0.4194 0.0000 0.2097
13 02-82 550 20-05 0.2832 0.7168 0.0000 0.3584
13 02-82 840 08-25 0.3417 0.6583 0.0000 0.3292
13 02-82 862 08-495 0.4877 0.5123 0.0000 0.2562
13 02-82 1094 08-86 0.4428 0.5572 0.0000 0.2786
14 02-83 274 07-04d 0.3382 0.6618 0.0000 0.3309
14 02-83 453 08-123 0.3138 0.6862 0.0000 0.3431
14 02-83 499 08-701 0.5939 0.4061 0.0000 0.2031
14 02-83 550 20-05 0.3089 0.6911 0.0000 0.3456
14 02-83 840 08-25 0.3522 0.6478 0.0000 0.3239
14 02-83 862 08-495 0.4963 0.5037 0.0000 0.2518
14 02-83 1094 08-86 0.4622 0.5378 0.0000 0.2689
15 02-86 274 07-04d 0.3476 0.6524 0.0000 0.3262
15 02-86 453 08-123 0.3205 0.6795 0.0000 0.3398
15 02-86 499 08-701 0.6011 0.3989 0.0000 0.1995
15 02-86 550 20-05 0.3289 0.6711 0.0000 0.3355
15 02-86 840 08-25 0.3560 0.6440 0.0000 0.3220
15 02-86 862 08-495 0.4766 0.5234 0.0000 0.2617
15 02-86 1094 08-86 0.4873 0.5127 0.0000 0.2563
16 02-87 274 07-04d 0.3628 0.6372 0.0000 0.3186
16 02-87 453 08-123 0.3056 0.6944 0.0000 0.3472
16 02-87 499 08-701 0.6015 0.3985 0.0000 0.1993
16 02-87 550 20-05 0.3083 0.6917 0.0000 0.3458
16 02-87 840 08-25 0.3398 0.6602 0.0000 0.3301
16 02-87 862 08-495 0.4847 0.5153 0.0000 0.2576
16 02-87 1094 08-86 0.4843 0.5157 0.0000 0.2578
17 02-89 274 07-04d 0.3439 0.6561 0.0000 0.3281
17 02-89 453 08-123 0.3167 0.6833 0.0000 0.3416
17 02-89 499 08-701 0.5746 0.4254 0.0000 0.2127
17 02-89 550 20-05 0.3191 0.6809 0.0000 0.3405
17 02-89 840 08-25 0.3506 0.6494 0.0000 0.3247
17 02-89 862 08-495 0.4710 0.5290 0.0000 0.2645
17 02-89 1094 08-86 0.4824 0.5176 0.0000 0.2588
18 01-31 274 07-04d 0.3536 0.6464 0.0000 0.3232
18 01-31 453 08-123 0.3139 0.6861 0.0000 0.3431
